title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Journal of Commodity Markets,2405-8513,Elsevier,,100%,Hybrid
Journal of Communication Disorders,0021-9924,Elsevier,,100%,Hybrid
Journal of Comparative Economics,0147-5967,Elsevier,,100%,Hybrid
Journal of Comparative Pathology,0021-9975,Elsevier,,100%,Hybrid
Journal of Complexity,0885-064X,Elsevier,,100%,Hybrid
Journal of Computational and Applied Mathematics,0377-0427,Elsevier,,100%,Hybrid
Journal of Computational Physics,0021-9991,Elsevier,,100%,Hybrid
Journal of Computational Science,1877-7503,Elsevier,,100%,Hybrid
Journal of Computer and System Sciences,0022-0000,Elsevier,,100%,Hybrid
Journal of Computer Languages,2590-1184,Elsevier,,100%,Hybrid
Journal of Constructional Steel Research,0143-974X,Elsevier,,100%,Hybrid
Journal of Contaminant Hydrology,0169-7722,Elsevier,,100%,Hybrid
Journal of Contemporary Accounting & Economics,1815-5669,Elsevier,,100%,Hybrid
Journal of Contextual Behavioral Science,2212-1447,Elsevier,,100%,Hybrid
Journal of Controlled Release,0168-3659,Elsevier,,100%,Hybrid
Journal of Co-operative Organization and Management,2213-297X,Elsevier,,100%,Hybrid
Journal of Corporate Finance,0929-1199,Elsevier,,100%,Hybrid
Journal of Cranio-Maxillofacial Surgery,1010-5182,Elsevier,,100%,Hybrid
Journal of Criminal Justice,0047-2352,Elsevier,,100%,Hybrid
Journal of Critical Care,0883-9441,Elsevier,,100%,Hybrid
Journal of Crystal Growth,0022-0248,Elsevier,,100%,Hybrid
Journal of Cultural Heritage,1296-2074,Elsevier,,100%,Hybrid
Journal of Cystic Fibrosis,1569-1993,Elsevier,,100%,Hybrid
Journal of Dentistry,0300-5712,Elsevier,,100%,Hybrid
Journal of Dermatological Science,0923-1811,Elsevier,,100%,Hybrid
Journal of Destination Marketing & Management,2212-571X,Elsevier,,100%,Hybrid
Journal of Development Economics,0304-3878,Elsevier,,100%,Hybrid
Journal of Diabetes and its Complications,1056-8727,Elsevier,,100%,Hybrid
Journal of Differential Equations,0022-0396,Elsevier,,100%,Hybrid
Journal of Drug Delivery Science and Technology,1773-2247,Elsevier,,100%,Hybrid
Journal of Econometrics,0304-4076,Elsevier,,100%,Hybrid
Journal of Economic Behavior & Organization,0167-2681,Elsevier,,100%,Hybrid
Journal of Economic Dynamics and Control,0165-1889,Elsevier,,100%,Hybrid
Journal of Economic Psychology,0167-4870,Elsevier,,100%,Hybrid
Journal of Economic Theory,0022-0531,Elsevier,,100%,Hybrid
Journal of Economics and Business,0148-6195,Elsevier,,100%,Hybrid
Journal of Electroanalytical Chemistry,1572-6657,Elsevier,,100%,Hybrid
Journal of Electrocardiology,0022-0736,Elsevier,,100%,Hybrid
Journal of Electromyography and Kinesiology,1050-6411,Elsevier,,100%,Hybrid
Journal of Electron Spectroscopy and Related Phenomena,0368-2048,Elsevier,,100%,Hybrid
Journal of Electrostatics,0304-3886,Elsevier,,100%,Hybrid
Journal of Emergency Nursing,0099-1767,Elsevier,,100%,Hybrid
Journal of Empirical Finance,0927-5398,Elsevier,,100%,Hybrid
Journal of Energy Chemistry,2095-4956,Elsevier,,100%,Hybrid
Journal of Energy Storage,2352-152X,Elsevier,,100%,Hybrid
Journal of Engineering and Technology Management,0923-4748,Elsevier,,100%,Hybrid
Journal of English for Academic Purposes,1475-1585,Elsevier,,100%,Hybrid
Journal of Environmental Chemical Engineering,2213-3437,Elsevier,,100%,Hybrid
Journal of Environmental Economics and Management,0095-0696,Elsevier,,100%,Hybrid
Journal of Environmental Management,0301-4797,Elsevier,,100%,Hybrid
Journal of Environmental Psychology,0272-4944,Elsevier,,100%,Hybrid
Journal of Environmental Radioactivity,0265-931X,Elsevier,,100%,Hybrid
Journal of Environmental Sciences,1001-0742,Elsevier,,100%,Hybrid
Journal of Equine Veterinary Science,0737-0806,Elsevier,,100%,Hybrid
Journal of Ethnopharmacology,0378-8741,Elsevier,,100%,Hybrid
Journal of Evidence-Based Dental Practice,1532-3382,Elsevier,,100%,Hybrid
Journal of Exotic Pet Medicine,1557-5063,Elsevier,,100%,Hybrid
Journal of Experimental Child Psychology,0022-0965,Elsevier,,100%,Hybrid
Journal of Experimental Marine Biology and Ecology,0022-0981,Elsevier,,100%,Hybrid
Journal of Experimental Social Psychology,0022-1031,Elsevier,,100%,Hybrid
Journal of Family Business Strategy,1877-8585,Elsevier,,100%,Hybrid
Journal of Financial Economics,0304-405X,Elsevier,,100%,Hybrid
Journal of Financial Intermediation,1042-9573,Elsevier,,100%,Hybrid
Journal of Financial Markets,1386-4181,Elsevier,,100%,Hybrid
Journal of Financial Stability,1572-3089,Elsevier,,100%,Hybrid
Journal of Fluency Disorders,0094-730X,Elsevier,,100%,Hybrid
Journal of Fluids and Structures,0889-9746,Elsevier,,100%,Hybrid
Journal of Fluorine Chemistry,0022-1139,Elsevier,,100%,Hybrid
Journal of Food Composition and Analysis,0889-1575,Elsevier,,100%,Hybrid
Journal of Food Engineering,0260-8774,Elsevier,,100%,Hybrid
Journal of Forensic and Legal Medicine,1752-928X,Elsevier,,100%,Hybrid
Journal of Functional Analysis,0022-1236,Elsevier,,100%,Hybrid
Journal of Genetics and Genomics,1673-8527,Elsevier,,100%,Hybrid
Journal of Geochemical Exploration,0375-6742,Elsevier,,100%,Hybrid
Journal of Geodynamics,0264-3707,Elsevier,,100%,Hybrid
Journal of Geometry and Physics,0393-0440,Elsevier,,100%,Hybrid
Journal of Geriatric Oncology,1879-4068,Elsevier,,100%,Hybrid
Journal of Gynecology Obstetrics and Human Reproduction,2468-7847,Elsevier,,100%,Hybrid
Journal of Hand Therapy,0894-1130,Elsevier,,100%,Hybrid
Journal of Hazardous Materials,0304-3894,Elsevier,,100%,Hybrid
Journal of Health Economics,0167-6296,Elsevier,,100%,Hybrid
Journal of Hepatology,0168-8278,Elsevier,,100%,Hybrid
Journal of Herbal Medicine,2210-8033,Elsevier,,100%,Hybrid
Journal of High Energy Astrophysics,2214-4048,Elsevier,,100%,Hybrid
Journal of Historical Geography,0305-7488,Elsevier,,100%,Hybrid
Journal of Hospital Infection,0195-6701,Elsevier,,100%,Hybrid
"Journal of Hospitality, Leisure, Sport & Tourism Education",1473-8376,Elsevier,,100%,Hybrid
Journal of Housing Economics,1051-1377,Elsevier,,100%,Hybrid
Journal of Human Evolution,0047-2484,Elsevier,,100%,Hybrid
Journal of Hydrology,0022-1694,Elsevier,,100%,Hybrid
Journal of Immunological Methods,0022-1759,Elsevier,,100%,Hybrid
Journal of Immunology and Regenerative Medicine,2468-4988,Elsevier,,100%,Hybrid
Journal of Industrial and Engineering Chemistry,1226-086X,Elsevier,,100%,Hybrid
Journal of Industrial Information Integration,2452-414X,Elsevier,,100%,Hybrid
Journal of Infection,0163-4453,Elsevier,,100%,Hybrid
Journal of Information Security and Applications,2214-2126,Elsevier,,100%,Hybrid
Journal of Informetrics,1751-1577,Elsevier,,100%,Hybrid
Journal of Inorganic Biochemistry,0162-0134,Elsevier,,100%,Hybrid
Journal of Insect Physiology,0022-1910,Elsevier,,100%,Hybrid
Journal of Integrative Medicine,2095-4964,Elsevier,,100%,Hybrid
"Journal of International Accounting, Auditing and Taxation",1061-9518,Elsevier,,100%,Hybrid
Journal of International Economics,0022-1996,Elsevier,,100%,Hybrid
"Journal of International Financial Markets, Institutions & Money",1042-4431,Elsevier,,100%,Hybrid
Journal of International Management,1075-4253,Elsevier,,100%,Hybrid
Journal of International Money and Finance,0261-5606,Elsevier,,100%,Hybrid
Journal of Interprofessional Education & Practice,2405-4526,Elsevier,,100%,Hybrid
Journal of Invertebrate Pathology,0022-2011,Elsevier,,100%,Hybrid
Journal of Logical and Algebraic Methods in Programming,2352-2208,Elsevier,,100%,Hybrid
Journal of Loss Prevention in the Process Industries,0950-4230,Elsevier,,100%,Hybrid
Journal of Luminescence,0022-2313,Elsevier,,100%,Hybrid
Journal of Macroeconomics,0164-0704,Elsevier,,100%,Hybrid
Journal of Magnetic Resonance,1090-7807,Elsevier,,100%,Hybrid
Journal of Magnetism and Magnetic Materials,0304-8853,Elsevier,,100%,Hybrid
Journal of Manipulative and Physiological Therapeutics,0161-4754,Elsevier,,100%,Hybrid
Journal of Manufacturing Processes,1526-6125,Elsevier,,100%,Hybrid
Journal of Manufacturing Systems,0278-6125,Elsevier,,100%,Hybrid
Journal of Marine Systems,0924-7963,Elsevier,,100%,Hybrid
Journal of Materials Processing Technology,0924-0136,Elsevier,,100%,Hybrid
Journal of Materials Science & Technology,1005-0302,Elsevier,,100%,Hybrid
Journal of Mathematical Analysis and Applications,0022-247X,Elsevier,,100%,Hybrid
Journal of Mathematical Economics,0304-4068,Elsevier,,100%,Hybrid
Journal of Mathematical Psychology,0022-2496,Elsevier,,100%,Hybrid
Journal of Medical Mycology,1156-5233,Elsevier,,100%,Hybrid
Journal of Membrane Science,0376-7388,Elsevier,,100%,Hybrid
Journal of Memory and Language,0749-596X,Elsevier,,100%,Hybrid
Journal of Microbiological Methods,0167-7012,Elsevier,,100%,Hybrid
Journal of Molecular and Cellular Cardiology,0022-2828,Elsevier,,100%,Hybrid
Journal of Molecular Biology,0022-2836,Elsevier,,100%,Hybrid
Journal of Molecular Graphics and Modelling,1093-3263,Elsevier,,100%,Hybrid
Journal of Molecular Liquids,0167-7322,Elsevier,,100%,Hybrid
Journal of Molecular Spectroscopy,0022-2852,Elsevier,,100%,Hybrid
Journal of Molecular Structure,0022-2860,Elsevier,,100%,Hybrid
Journal of Monetary Economics,0304-3932,Elsevier,,100%,Hybrid
Journal of Multinational Financial Management,1042-444X,Elsevier,,100%,Hybrid
Journal of Multivariate Analysis,0047-259X,Elsevier,,100%,Hybrid
Journal of Neonatal Nursing,1355-1841,Elsevier,,100%,Hybrid
Journal of Network and Computer Applications,1084-8045,Elsevier,,100%,Hybrid
Journal of Neuroimmunology,0165-5728,Elsevier,,100%,Hybrid
Journal of Neurolinguistics,0911-6044,Elsevier,,100%,Hybrid
Journal of Neuroradiology,0150-9861,Elsevier,,100%,Hybrid
Journal of Neuroscience Methods,0165-0270,Elsevier,,100%,Hybrid
Journal of Non-Crystalline Solids,0022-3093,Elsevier,,100%,Hybrid
Journal of Non-Newtonian Fluid Mechanics,0377-0257,Elsevier,,100%,Hybrid
Journal of Nuclear Materials,0022-3115,Elsevier,,100%,Hybrid
Journal of Number Theory,0022-314X,Elsevier,,100%,Hybrid
Journal of Nursing Regulation,2155-8256,Elsevier,,100%,Hybrid
Journal of Nutrition Education and Behavior,1499-4046,Elsevier,,100%,Hybrid
Journal of Obsessive-Compulsive and Related Disorders,2211-3649,Elsevier,,100%,Hybrid
"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",2212-5558,Elsevier,,100%,Hybrid
Journal of Oral Biosciences,1349-0079,Elsevier,,100%,Hybrid
Journal of Organometallic Chemistry,0022-328X,Elsevier,,100%,Hybrid
Journal of Orthopaedics,0972-978X,Elsevier,,100%,Hybrid
Journal of Outdoor Recreation and Tourism,2213-0780,Elsevier,,100%,Hybrid
Journal of Pain and Symptom Management,0885-3924,Elsevier,,100%,Hybrid
Journal of Parallel and Distributed Computing,0743-7315,Elsevier,,100%,Hybrid
Journal of Pediatric and Adolescent Gynecology,1083-3188,Elsevier,,100%,Hybrid
Journal of Pediatric Health Care,0891-5245,Elsevier,,100%,Hybrid
Journal of Pediatric Nursing,0882-5963,Elsevier,,100%,Hybrid
Journal of Pediatric Surgery,0022-3468,Elsevier,,100%,Hybrid
Journal of Pediatric Urology,1477-5131,Elsevier,,100%,Hybrid
Journal of PeriAnesthesia Nursing,1089-9472,Elsevier,,100%,Hybrid
Journal of Pharmaceutical and Biomedical Analysis,0731-7085,Elsevier,,100%,Hybrid
Journal of Pharmacological and Toxicological Methods,1056-8719,Elsevier,,100%,Hybrid
Journal of Phonetics,0095-4470,Elsevier,,100%,Hybrid
Journal of Photochemistry and Photobiology A: Chemistry,1010-6030,Elsevier,,100%,Hybrid
Journal of Photochemistry and Photobiology B: Biology,1011-1344,Elsevier,,100%,Hybrid
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,1389-5567,Elsevier,,100%,Hybrid
Journal of Physics and Chemistry of Solids,0022-3697,Elsevier,,100%,Hybrid
Journal of Plant Physiology,0176-1617,Elsevier,,100%,Hybrid
"Journal of Plastic, Reconstructive & Aesthetic Surgery",1748-6815,Elsevier,,100%,Hybrid
Journal of Policy Modeling,0161-8938,Elsevier,,100%,Hybrid
Journal of Power Sources,0378-7753,Elsevier,,100%,Hybrid
Journal of Pragmatics,0378-2166,Elsevier,,100%,Hybrid
Journal of Process Control,0959-1524,Elsevier,,100%,Hybrid
Journal of Professional Nursing,8755-7223,Elsevier,,100%,Hybrid
Journal of Prosthetic Dentistry,0022-3913,Elsevier,,100%,Hybrid
Journal of Proteomics,1874-3919,Elsevier,,100%,Hybrid
Journal of Psychiatric Research,0022-3956,Elsevier,,100%,Hybrid
Journal of Psychosomatic Research,0022-3999,Elsevier,,100%,Hybrid
Journal of Public Economics,0047-2727,Elsevier,,100%,Hybrid
Journal of Purchasing and Supply Management,1478-4092,Elsevier,,100%,Hybrid
Journal of Pure and Applied Algebra,0022-4049,Elsevier,,100%,Hybrid
Journal of Quantitative Spectroscopy & Radiative Transfer,0022-4073,Elsevier,,100%,Hybrid
Journal of Radiology Nursing,1546-0843,Elsevier,,100%,Hybrid
Journal of Rail Transport Planning & Management,2210-9706,Elsevier,,100%,Hybrid
Journal of Rare Earths,1002-0721,Elsevier,,100%,Hybrid
Journal of Reproductive Immunology,0165-0378,Elsevier,,100%,Hybrid
Journal of Research in Personality,0092-6566,Elsevier,,100%,Hybrid
Journal of Retailing,0022-4359,Elsevier,,100%,Hybrid
Journal of Retailing and Consumer Services,0969-6989,Elsevier,,100%,Hybrid
Journal of Rural Studies,0743-0167,Elsevier,,100%,Hybrid
Journal of Safety Research,0022-4375,Elsevier,,100%,Hybrid
Journal of School Psychology,0022-4405,Elsevier,,100%,Hybrid
Journal of Science and Medicine in Sport,1440-2440,Elsevier,,100%,Hybrid
Journal of Second Language Writing,1060-3743,Elsevier,,100%,Hybrid
Journal of Shoulder and Elbow Surgery,1058-2746,Elsevier,,100%,Hybrid
Journal of Solid State Chemistry,0022-4596,Elsevier,,100%,Hybrid
Journal of Sound and Vibration,0022-460X,Elsevier,,100%,Hybrid
Journal of South American Earth Sciences,0895-9811,Elsevier,,100%,Hybrid
Journal of Space Safety Engineering,2468-8967,Elsevier,,100%,Hybrid
Journal of Statistical Planning and Inference,0378-3758,Elsevier,,100%,Hybrid
"Journal of Stomatology, Oral and Maxillofacial Surgery",2468-7855,Elsevier,,100%,Hybrid
Journal of Stored Products Research,0022-474X,Elsevier,,100%,Hybrid
Journal of Stroke & Cerebrovascular Diseases,1052-3057,Elsevier,,100%,Hybrid
Journal of Structural Biology,1047-8477,Elsevier,,100%,Hybrid
Journal of Structural Geology,0191-8141,Elsevier,,100%,Hybrid
Journal of Substance Use and Addiction Treatment,2949-8759,Elsevier,,100%,Hybrid
Journal of Surgical Education,1931-7204,Elsevier,,100%,Hybrid
Journal of Surgical Research,0022-4804,Elsevier,,100%,Hybrid
Journal of Symbolic Computation,0747-7171,Elsevier,,100%,Hybrid
Journal of Systems and Software,0164-1212,Elsevier,,100%,Hybrid
Journal of Systems Architecture,1383-7621,Elsevier,,100%,Hybrid
Journal of the Academy of Consultation-Liaison Psychiatry,2667-2960,Elsevier,,100%,Hybrid
Journal of the Academy of Nutrition and Dietetics,2212-2672,Elsevier,,100%,Hybrid
Journal of the American Academy of Dermatology,0190-9622,Elsevier,,100%,Hybrid
Journal of the American Society of Cytopathology,2213-2945,Elsevier,,100%,Hybrid
Journal of the Energy Institute,1743-9671,Elsevier,,100%,Hybrid
Journal of the European Ceramic Society,0955-2219,Elsevier,,100%,Hybrid
Journal of the Franklin Institute,0016-0032,Elsevier,,100%,Hybrid
Journal of the Indian Chemical Society,0019-4522,Elsevier,,100%,Hybrid
Journal of the Japanese and International Economies,0889-1583,Elsevier,,100%,Hybrid
Journal of the Mechanical Behavior of Biomedical Materials,1751-6161,Elsevier,,100%,Hybrid
Journal of the Mechanics and Physics of Solids,0022-5096,Elsevier,,100%,Hybrid
Journal of the Neurological Sciences,0022-510X,Elsevier,,100%,Hybrid
Journal of the Taiwan Institute of Chemical Engineers,1876-1070,Elsevier,,100%,Hybrid
Journal of the World Federation of Orthodontists,2212-4438,Elsevier,,100%,Hybrid
Journal of Theoretical Biology,0022-5193,Elsevier,,100%,Hybrid
Journal of Thermal Biology,0306-4565,Elsevier,,100%,Hybrid
Journal of Tissue Viability,0965-206X,Elsevier,,100%,Hybrid
Journal of Trace Elements in Medicine and Biology,0946-672X,Elsevier,,100%,Hybrid
Journal of Transport & Health,2214-1405,Elsevier,,100%,Hybrid
Journal of Transport Geography,0966-6923,Elsevier,,100%,Hybrid
Journal of Urban Economics,0094-1190,Elsevier,,100%,Hybrid
Journal of Vascular Nursing,1062-0303,Elsevier,,100%,Hybrid
Journal of Vascular Surgery: Venous and Lymphatic Disorders,2213-333X,Elsevier,,100%,Hybrid
Journal of Veterinary Behavior,1558-7878,Elsevier,,100%,Hybrid
Journal of Veterinary Cardiology,1760-2734,Elsevier,,100%,Hybrid
Journal of Virological Methods,0166-0934,Elsevier,,100%,Hybrid
Journal of Visceral Surgery,1878-7886,Elsevier,,100%,Hybrid
Journal of Visual Communication and Image Representation,1047-3203,Elsevier,,100%,Hybrid
Journal of Vocational Behavior,0001-8791,Elsevier,,100%,Hybrid
Journal of Voice,0892-1997,Elsevier,,100%,Hybrid
Journal of Volcanology and Geothermal Research,0377-0273,Elsevier,,100%,Hybrid
Journal of Water Process Engineering,2214-7144,Elsevier,,100%,Hybrid
Journal of Wind Engineering and Industrial Aerodynamics,0167-6105,Elsevier,,100%,Hybrid
Journal of World Business,1090-9516,Elsevier,,100%,Hybrid
"Kinésithérapie, la Revue",1779-0123,Elsevier,,100%,Hybrid
Knowledge-Based Systems,0950-7051,Elsevier,,100%,Hybrid
La Presse Médicale,0755-4982,Elsevier,,100%,Hybrid
La Revue de Médecine Interne,0248-8663,Elsevier,,100%,Hybrid
Labour Economics,0927-5371,Elsevier,,100%,Hybrid
Land Use Policy,0264-8377,Elsevier,,100%,Hybrid
Landscape and Urban Planning,0169-2046,Elsevier,,100%,Hybrid
Language & Communication,0271-5309,Elsevier,,100%,Hybrid
Language Sciences,0388-0001,Elsevier,,100%,Hybrid
Learning and Individual Differences,1041-6080,Elsevier,,100%,Hybrid
Learning and Instruction,0959-4752,Elsevier,,100%,Hybrid
Learning and Motivation,0023-9690,Elsevier,,100%,Hybrid
"Learning, Culture and Social Interaction",2210-6561,Elsevier,,100%,Hybrid
Legal Medicine,1344-6223,Elsevier,,100%,Hybrid
Leukemia Research,0145-2126,Elsevier,,100%,Hybrid
L'Évolution Psychiatrique,0014-3855,Elsevier,,100%,Hybrid
Library & Information Science Research,0740-8188,Elsevier,,100%,Hybrid
Life Sciences,0024-3205,Elsevier,,100%,Hybrid
Life Sciences in Space Research,2214-5524,Elsevier,,100%,Hybrid
Limnologica,0075-9511,Elsevier,,100%,Hybrid
Linear Algebra and its Applications,0024-3795,Elsevier,,100%,Hybrid
Lingua,0024-3841,Elsevier,,100%,Hybrid
Linguistics and Education,0898-5898,Elsevier,,100%,Hybrid
Lithos,0024-4937,Elsevier,,100%,Hybrid
Livestock Science,1871-1413,Elsevier,,100%,Hybrid
Long Range Planning,0024-6301,Elsevier,,100%,Hybrid
Lung Cancer,0169-5002,Elsevier,,100%,Hybrid
Magnetic Resonance Imaging,0730-725X,Elsevier,,100%,Hybrid
Management Accounting Research,1044-5005,Elsevier,,100%,Hybrid
Manufacturing Letters,2213-8463,Elsevier,,100%,Hybrid
Marine and Petroleum Geology,0264-8172,Elsevier,,100%,Hybrid
Marine Chemistry,0304-4203,Elsevier,,100%,Hybrid
Marine Environmental Research,0141-1136,Elsevier,,100%,Hybrid
Marine Genomics,1874-7787,Elsevier,,100%,Hybrid
Marine Geology,0025-3227,Elsevier,,100%,Hybrid
Marine Micropaleontology,0377-8398,Elsevier,,100%,Hybrid
Marine Policy,0308-597X,Elsevier,,100%,Hybrid
Marine Pollution Bulletin,0025-326X,Elsevier,,100%,Hybrid
Marine Structures,0951-8339,Elsevier,,100%,Hybrid
Materialia,2589-1529,Elsevier,,100%,Hybrid
Materials Characterization,1044-5803,Elsevier,,100%,Hybrid
Materials Chemistry and Physics,0254-0584,Elsevier,,100%,Hybrid
Materials Letters,0167-577X,Elsevier,,100%,Hybrid
Materials Research Bulletin,0025-5408,Elsevier,,100%,Hybrid
Materials Science and Engineering: A,0921-5093,Elsevier,,100%,Hybrid
Materials Science and Engineering: B,0921-5107,Elsevier,,100%,Hybrid
Materials Science and Engineering: R: Reports,0927-796X,Elsevier,,100%,Hybrid
Materials Science in Semiconductor Processing,1369-8001,Elsevier,,100%,Hybrid
Materials Today,1369-7021,Elsevier,,100%,Hybrid
Materials Today Chemistry,2468-5194,Elsevier,,100%,Hybrid
Materials Today Communications,2352-4928,Elsevier,,100%,Hybrid
Materials Today Energy,2468-6069,Elsevier,,100%,Hybrid
Materials Today Nano,2588-8420,Elsevier,,100%,Hybrid
Materials Today Physics,2542-5293,Elsevier,,100%,Hybrid
Materials Today Sustainability,2589-2347,Elsevier,,100%,Hybrid
Materials Today: Proceedings,2214-7853,Elsevier,,100%,Hybrid
Mathematical Biosciences,0025-5564,Elsevier,,100%,Hybrid
Mathematical Social Sciences,0165-4896,Elsevier,,100%,Hybrid
Mathematics and Computers in Simulation,0378-4754,Elsevier,,100%,Hybrid
Matrix Biology,0945-053X,Elsevier,,100%,Hybrid
Maturitas,0378-5122,Elsevier,,100%,Hybrid
Measurement,0263-2241,Elsevier,,100%,Hybrid
Meat Science,0309-1740,Elsevier,,100%,Hybrid
Mechanical Systems and Signal Processing,0888-3270,Elsevier,,100%,Hybrid
Mechanics of Materials,0167-6636,Elsevier,,100%,Hybrid
Mechanics Research Communications,0093-6413,Elsevier,,100%,Hybrid
Mechanism and Machine Theory,0094-114X,Elsevier,,100%,Hybrid
Mechanisms of Ageing and Development,0047-6374,Elsevier,,100%,Hybrid
Mechatronics,0957-4158,Elsevier,,100%,Hybrid
Médecine & Droit,1246-7391,Elsevier,,100%,Hybrid
Médecine Nucléaire,0928-1258,Elsevier,,100%,Hybrid
Medical Engineering & Physics,1350-4533,Elsevier,,100%,Hybrid
Medical Hypotheses,0306-9877,Elsevier,,100%,Hybrid
Medical Image Analysis,1361-8415,Elsevier,,100%,Hybrid
Medicina Clínica (English Edition),2387-0206,Elsevier,,100%,Hybrid
Medicina Intensiva (English Edition),2173-5727,Elsevier,,100%,Hybrid
Mental Health & Prevention,2212-6570,Elsevier,,100%,Hybrid
Mental Health and Physical Activity,1755-2966,Elsevier,,100%,Hybrid
Metabolic Engineering,1096-7176,Elsevier,,100%,Hybrid
Metabolism,0026-0495,Elsevier,,100%,Hybrid
Methods,1046-2023,Elsevier,,100%,Hybrid
Micro and Nanostructures,2773-0123,Elsevier,,100%,Hybrid
Microbes and Infection,1286-4579,Elsevier,,100%,Hybrid
Microbial Pathogenesis,0882-4010,Elsevier,,100%,Hybrid
Microbial Risk Analysis,2352-3522,Elsevier,,100%,Hybrid
Microbiological Research,0944-5013,Elsevier,,100%,Hybrid
Microchemical Journal,0026-265X,Elsevier,,100%,Hybrid
Microelectronic Engineering,0167-9317,Elsevier,,100%,Hybrid
Microelectronics Journal,0026-2692,Elsevier,,100%,Hybrid
Microelectronics Reliability,0026-2714,Elsevier,,100%,Hybrid
Micron,0968-4328,Elsevier,,100%,Hybrid
Microporous and Mesoporous Materials,1387-1811,Elsevier,,100%,Hybrid
Microprocessors and Microsystems,0141-9331,Elsevier,,100%,Hybrid
Microvascular Research,0026-2862,Elsevier,,100%,Hybrid
Midwifery,0266-6138,Elsevier,,100%,Hybrid
Minerals Engineering,0892-6875,Elsevier,,100%,Hybrid
Mitochondrion,1567-7249,Elsevier,,100%,Hybrid
Molecular and Biochemical Parasitology,0166-6851,Elsevier,,100%,Hybrid
Molecular and Cellular Endocrinology,0303-7207,Elsevier,,100%,Hybrid
Molecular and Cellular Neuroscience,1044-7431,Elsevier,,100%,Hybrid
Molecular Aspects of Medicine,0098-2997,Elsevier,,100%,Hybrid
Molecular Catalysis,2468-8231,Elsevier,,100%,Hybrid
Molecular Genetics and Metabolism,1096-7192,Elsevier,,100%,Hybrid
Molecular Immunology,0161-5890,Elsevier,,100%,Hybrid
Molecular Phylogenetics and Evolution,1055-7903,Elsevier,,100%,Hybrid
Morphologie,1286-0115,Elsevier,,100%,Hybrid
Multiple Sclerosis and Related Disorders,2211-0348,Elsevier,,100%,Hybrid
Musculoskeletal Science and Practice,2468-7812,Elsevier,,100%,Hybrid
Mutation Research: Fundamental and Molecular Mechanisms of Mutagenesis,0027-5107,Elsevier,,100%,Hybrid
Mutation Research: Genetic Toxicology and Environmental Mutagenesis,1383-5718,Elsevier,,100%,Hybrid
Mutation Research: Reviews in Mutation Research,1383-5742,Elsevier,,100%,Hybrid
Nano Communication Networks,1878-7789,Elsevier,,100%,Hybrid
Nano Energy,2211-2855,Elsevier,,100%,Hybrid
Nano Today,1748-0132,Elsevier,,100%,Hybrid
NanoImpact,2452-0748,Elsevier,,100%,Hybrid
"Nanomedicine: Nanotechnology, Biology and Medicine",1549-9634,Elsevier,,100%,Hybrid
Nano-Structures & Nano-Objects,2352-507X,Elsevier,,100%,Hybrid
NDT & E International,0963-8695,Elsevier,,100%,Hybrid
Neural Networks,0893-6080,Elsevier,,100%,Hybrid
Neurobiology of Aging,0197-4580,Elsevier,,100%,Hybrid
Neurobiology of Learning and Memory,1074-7427,Elsevier,,100%,Hybrid
Neurochemistry International,0197-0186,Elsevier,,100%,Hybrid
Neurochirurgie,0028-3770,Elsevier,,100%,Hybrid
Neurocirugía (English Edition),2529-8496,Elsevier,,100%,Hybrid
Neurocomputing,0925-2312,Elsevier,,100%,Hybrid
Neuromodulation: Technology at the Neural Interface,1094-7159,Elsevier,,100%,Hybrid
Neuromuscular Disorders,0960-8966,Elsevier,,100%,Hybrid
Neuropeptides,0143-4179,Elsevier,,100%,Hybrid
Neuropharmacology,0028-3908,Elsevier,,100%,Hybrid
Neurophysiologie Clinique,0987-7053,Elsevier,,100%,Hybrid
Neuropsychiatrie de l'Enfance et de l'Adolescence,0222-9617,Elsevier,,100%,Hybrid
Neuropsychologia,0028-3932,Elsevier,,100%,Hybrid
Neuroscience,0306-4522,Elsevier,,100%,Hybrid
Neuroscience & Biobehavioral Reviews,0149-7634,Elsevier,,100%,Hybrid
Neuroscience Letters,0304-3940,Elsevier,,100%,Hybrid
NeuroToxicology,0161-813X,Elsevier,,100%,Hybrid
Neurotoxicology and Teratology,0892-0362,Elsevier,,100%,Hybrid
New Astronomy,1384-1076,Elsevier,,100%,Hybrid
New Astronomy Reviews,1387-6473,Elsevier,,100%,Hybrid
New Ideas in Psychology,0732-118X,Elsevier,,100%,Hybrid
Nitric Oxide,1089-8603,Elsevier,,100%,Hybrid
Nonlinear Analysis,0362-546X,Elsevier,,100%,Hybrid
Nonlinear Analysis: Hybrid Systems,1751-570X,Elsevier,,100%,Hybrid
Nonlinear Analysis: Real World Applications,1468-1218,Elsevier,,100%,Hybrid
Nuclear and Particle Physics Proceedings,2405-6014,Elsevier,,100%,Hybrid
Nuclear Data Sheets,0090-3752,Elsevier,,100%,Hybrid
Nuclear Engineering and Design,0029-5493,Elsevier,,100%,Hybrid
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",0168-9002,Elsevier,,100%,Hybrid
